ra,dec,m_r,z,distancia,velocidad
150.47733,0.75718711,18.139507,1.35594,534.4430084,406782
150.69524,0.35111674,17.922144,2.16977,483.535985,650931
151.0537,0.21598782,18.757832,2.24049,710.5037918,672147
150.83865,0.86608241,19.975864,0.360073,1245.009886,108021.9
151.11849,0.30711517,18.365932,3.04507,593.1798639,913521
151.11495,0.14241522,18.512465,0.276256,634.5896725,82876.8
150.97302,0.39564986,18.720823,0.337862,698.4970882,101358.6
151.35434,0.23466585,19.620066,0.330764,1056.849631,99229.2
151.41535,0.41655924,19.088076,0.324015,827.2089031,97204.5
151.30547,0.40066148,20.254946,0.472554,1415.758573,141766.2
151.47226,0.32421986,18.477354,2.50099,624.4113663,750297
151.67523,0.26377476,19.140121,0.878946,847.2746251,263683.8
151.6572,0.35940965,19.882996,0.418324,1192.88671,125497.2
151.70793,0.2010574,18.853052,0.269376,742.3528839,80812.8
151.72273,0.591451,19.585842,0.417238,1040.323479,125171.4
151.32088,0.98498232,19.719053,0.692746,1106.14128,207823.8
151.31152,0.8948027,18.979347,0.945004,786.8091467,283501.2
151.82678,0.64926367,18.980061,0.294337,787.0678993,88301.1
151.62429,0.67989723,18.380711,0.772586,597.2308044,231775.8
151.59826,0.69475443,19.088058,1.91938,827.2020461,575814
151.56863,0.7154855,18.930695,0.268997,769.3766471,80699.1
151.81473,0.71621817,18.867455,1.67681,747.2931477,503043
151.98412,0.43482349,19.784374,0.417751,1139.92112,125325.3
153.55067,-0.8636618,19.668909,0.356319,1080.890749,106895.7
153.77699,-0.3288054,20.014952,0.398169,1267.623845,119450.7
153.58085,-0.47619202,18.408653,0.358512,604.9654883,107553.6
153.54182,-0.44299021,19.5966,0.36998,1045.490281,110994
153.57425,-0.51758521,20.35688,0.466434,1483.802164,139930.2
153.58318,-0.57832812,20.04829,0.355417,1287.235475,106625.1
153.46334,-0.18847764,18.439035,0.271181,613.4893106,81354.3
153.31193,-0.87598273,17.815447,0.275705,460.3513277,82711.5
153.45716,-0.26175997,18.828459,0.276372,733.9928004,82911.6
153.42456,-0.15714263,18.811249,0.276953,728.1985335,83085.9
153.09186,-0.90870065,20.091848,0.416886,1313.317103,125065.8
152.83313,-0.6959672,19.410698,1.88737,959.7090717,566211
153.34718,-0.54452648,19.632015,0.343187,1062.681206,102956.1
152.6526,-0.35431128,18.810604,0.274596,727.9822663,82378.8
152.5131,-0.22563445,18.687939,0.731792,687.9989889,219537.6
152.55941,-0.1709113,18.872826,2.18852,749.1438179,656556
152.63938,-0.79015212,18.033358,1.66747,508.9458764,500241
152.6296,-0.83021135,19.846218,0.433032,1172.853046,129909.6
152.41632,-0.64612742,19.113903,0.278245,837.1062799,83473.5
152.37696,-0.43865441,17.261074,1.24072,356.6274761,372216
152.36013,-0.27243481,19.057318,1.56052,815.5744276,468156
152.40176,-0.45039348,19.107109,0.31987,834.4912745,95961
152.23239,-0.97123272,19.085651,3.09659,826.2856301,928977
152.28593,-0.7186261,19.700043,0.34953,1096.499909,104859
152.26168,-0.53620237,19.005112,0.276088,796.2004157,82826.4
152.22205,-0.29745589,20.160034,0.477426,1355.210632,143227.8
151.9035,-1.0272912,19.800682,0.376176,1148.514282,112852.8
151.87288,-0.82627884,19.595381,0.37553,1044.903539,112659
151.92797,-0.84510116,19.98868,0.39563,1252.379644,118689
152.10717,-0.41201808,20.024801,0.398644,1273.386379,119593.2
152.1141,-0.47143885,20.318239,0.395593,1457.631685,118677.9
152.15567,-0.30977704,18.530285,1.35484,639.8188045,406452
151.88149,0.94744834,19.709686,0.359829,1101.380036,107948.7
151.9973,0.80621366,19.416281,0.335896,962.1797223,100768.8
152.13349,0.07717053,19.170578,0.315194,859.2422032,94558.2
152.10438,0.67101603,20.244251,0.455189,1408.80278,136556.7
152.04686,0.84142683,19.777735,0.334115,1136.441278,100234.5
152.00566,0.70225827,19.999046,0.45592,1258.372445,136776
152.24974,0.58966792,19.32313,0.411814,921.7772812,123544.2
152.17265,0.08820964,19.096466,0.316819,830.4112038,95045.7
152.14457,0.04995935,18.946476,0.318183,774.9883963,95454.9
152.38033,0.13866076,19.663496,0.331008,1078.199683,99302.4
152.62012,0.97907161,19.168816,0.329312,858.5452702,98793.6
152.60426,0.81071085,19.494171,0.304001,997.319246,91200.3
152.50022,0.30628625,18.307962,0.604976,577.5537393,181492.8
152.57582,0.06422671,18.115225,1.39757,528.5000102,419271
152.56453,0.22723214,19.442261,0.303948,973.7606039,91184.4
152.4383,0.60925165,18.93462,1.70258,770.7685755,510774
152.75386,0.34428675,18.760996,1.74875,711.5398043,524625
153.44757,0.23306989,19.888195,0.358141,1195.746174,107442.3
153.45775,0.13139738,20.10457,0.429443,1321.034014,128832.9
153.48003,0.48065892,19.461409,0.33027,982.385175,99081
153.41911,0.08570957,19.450788,0.348953,977.5919124,104685.9
152.78982,0.70422508,19.216707,0.331517,877.6905048,99455.1
153.57877,0.3362504,19.76754,0.357309,1131.118225,107192.7
153.61428,0.09875877,19.008884,0.352201,797.5846736,105660.3
152.88434,0.65674882,19.923985,0.428763,1215.617658,128628.9
152.92491,1.0235149,19.414043,0.333255,961.188575,99976.5
152.86112,0.72199018,18.835545,1.26858,736.3918952,380574
153.71107,0.28615496,18.927578,0.270456,768.2730518,81136.8
153.77362,0.43945209,20.498341,0.349807,1583.6828,104942.1
153.76965,0.63775056,19.934925,0.444936,1221.757461,133480.8
153.75791,0.49689114,19.18399,0.303512,864.5656966,91053.6
153.68038,0.03081419,18.934078,0.272057,770.5762155,81617.1
153.71636,0.62838457,20.511747,0.442242,1593.490211,132672.6
153.89061,0.07766895,19.296881,0.417065,910.7018106,125119.5
153.85063,0.42194547,19.84824,0.463269,1173.945675,138980.7
153.87659,0.33855655,19.833364,0.420547,1165.930867,126164.1
153.84348,0.06863298,18.834988,1.24988,736.2030291,374964
155.15029,-0.80764233,20.446442,0.375509,1546.280931,112652.7
155.21177,-0.79012887,19.731941,0.395163,1112.725908,118548.9
155.13584,-0.99900971,19.737919,3.03303,1115.79343,909909
155.09969,-0.84581463,20.597164,0.464978,1657.420858,139493.4
155.5362,-0.4215368,19.338001,0.394034,928.1115984,118210.2
155.34121,-0.59667906,19.767168,0.393479,1130.924467,118043.7
155.5451,-0.51147206,20.434433,0.480879,1537.75306,144263.7
155.68603,-0.12652436,18.59366,1.40332,658.7672493,420996
155.53531,-0.30411782,19.785984,0.312204,1140.766607,93661.2
154.71478,-1.0197013,21.773081,1.07459,2848.499844,322377
154.74986,-0.9056238,18.5938,2.18333,658.8097229,654999
154.89956,-0.95379832,19.839476,0.366674,1169.217212,110002.2
155.14886,-0.68792597,19.940224,0.39614,1224.742532,118842
155.11626,-0.60273547,18.956882,0.955995,778.7111622,286798.5
155.12528,-0.2835131,18.889112,2.09049,754.783504,627147
155.12197,-0.10080957,19.146587,0.811026,849.8013174,243307.8
154.47619,-0.89236105,19.458647,0.383909,981.1364265,115172.7
154.64364,-0.83960921,19.636927,0.341071,1065.087775,102321.3
154.9696,-0.70785458,19.417379,0.405124,962.6663692,121537.2
154.97995,-0.75829318,20.069542,0.477656,1299.895379,143296.8
154.26453,-0.91901828,19.222973,0.268482,880.2268258,80544.6
154.77966,-0.33030599,18.611551,1.4925,664.2173261,447750
154.68299,-0.7140191,19.662645,0.340383,1077.77722,102114.9
154.62245,-0.14185164,19.00939,2.14095,797.7705498,642285
154.61189,-0.16417995,18.770769,1.81561,714.7494009,544683
154.76223,-0.34085395,18.718376,1.47662,697.7104055,442986
154.59842,-0.09102846,18.601925,1.39705,661.2794093,419115
154.61893,-0.61494545,20.63479,0.465834,1686.389929,139750.2
154.58702,-0.57547796,17.861849,1.5099,470.2943919,452970
154.53072,-0.13674877,19.755388,0.371869,1124.805937,111560.7
154.45375,-0.52347949,18.962738,2.28379,780.814015,685137
154.52935,-0.3342447,19.995602,2.62486,1256.378223,787458
154.36883,-0.54567882,19.195961,0.313223,869.3450788,93966.9
154.3596,-0.16420642,18.350607,0.344872,589.0082801,103461.6
153.98806,-1.0331623,19.556213,0.361608,1026.225023,108482.4
154.12315,-0.85620855,20.096689,0.343316,1316.248229,102994.8
154.21557,-0.56305664,18.712948,1.82824,695.9685263,548472
154.24438,-0.11900407,19.436871,0.337098,971.3465455,101129.4
154.3533,-0.60091386,19.770512,0.347509,1132.667397,104252.7
153.99154,-0.40169339,19.795816,0.468056,1145.943485,140416.8
153.53355,-0.89492947,19.377743,0.364049,945.2541658,109214.7
153.94475,-0.51305813,19.566984,0.400442,1031.327979,120132.6
153.58455,-0.4967909,19.495131,0.355862,997.7602546,106758.6
153.78003,-0.15699078,19.964489,0.349853,1238.505102,104955.9
153.6309,0.39087876,20.78817,0.495255,1809.814236,148576.5
153.95418,0.3388877,19.855667,4.40285,1177.967748,1320855
153.32326,0.13343361,20.019958,0.749611,1270.54953,224883.3
153.93869,0.85544787,18.537594,1.57116,641.9760111,471348
154.0537,0.08646287,20.403625,0.467317,1516.090059,140195.1
154.00233,0.22533099,19.761694,0.351891,1128.077144,105567.3
154.14992,0.14750838,18.080778,2.29797,520.1823352,689391
154.04122,0.16803791,18.759098,0.417316,710.9181466,125194.8
154.01775,0.20358453,18.555517,1.48114,647.2967105,444342
154.01916,0.92283005,20.25267,0.432266,1414.275441,129679.8
154.09652,0.7143823,19.703537,0.344821,1098.265649,103446.3
154.03325,0.88341759,18.265539,0.878338,566.3798576,263501.4
154.15968,0.70484658,20.745398,0.440847,1774.514694,132254.1
154.03949,0.46962903,19.100864,1.01343,832.0947847,304029
154.18956,0.07632094,19.03371,0.271737,806.755621,81521.1
154.24826,0.3783393,18.829002,2.08953,734.1763661,626859
154.20128,0.63774429,19.818037,0.410667,1157.730301,123200.1
154.17926,0.58474392,19.825718,0.349341,1161.832712,104802.3
154.30352,0.88121751,19.636763,0.377178,1065.007338,113153.4
154.47592,0.11305361,19.709442,0.399226,1101.256285,119767.8
154.5186,0.35000118,18.589819,0.277505,657.6030215,83251.5
154.61305,-0.002333131,19.779898,0.979996,1137.57385,293998.8
154.63523,0.24344166,20.296907,3.84405,1443.382382,1153215
154.73529,0.41023398,18.693989,0.266161,689.9185149,79848.3
154.84154,0.10613027,20.085943,0.367583,1309.750582,110274.9
154.61914,0.7591713,19.666708,0.369209,1079.795716,110762.7
154.69106,0.91370039,19.675653,0.352835,1084.252919,105850.5
154.71094,0.81663853,20.689302,1.74295,1729.260415,522885
154.57193,0.87527719,20.176931,2.79685,1365.797143,839055
155.08746,0.41630905,19.114647,1.4547,837.3931423,436410
155.03748,0.12819747,19.37763,0.463023,945.2049775,138906.9
155.18258,0.01826937,20.979765,4.20729,1976.755701,1262187
155.24411,1.0531188,23.119703,2.21577,5295.910049,664731
154.89278,0.95129394,19.400551,0.461567,955.2349412,138470.1
154.86096,1.0597853,20.462702,2.46958,1557.902951,740874
155.27656,0.47796418,19.14155,0.307946,847.8323821,92383.8
155.25032,0.35398897,19.248611,0.304297,890.6810245,91289.1
155.53053,0.80013637,19.117937,2.11003,838.6628391,633009
155.46494,0.69649517,19.384659,1.52301,948.2695389,456903
155.68836,0.38909458,19.279343,1.36349,903.3761072,409047
156.75099,-1.0736104,17.929707,0.344001,485.2230239,103200.3
156.68282,-0.70083475,19.435989,0.325616,970.952088,97684.8
156.89555,-0.77998156,19.77965,0.326434,1137.443937,97930.2
157.26314,-0.6334657,19.130354,1.5406,843.472252,462180
156.52807,-0.84414153,19.076141,0.282674,822.6748108,84802.2
156.53257,-0.74082817,19.531151,0.326614,1014.448957,97984.2
156.42652,-0.92887573,18.142984,1.76905,535.2994535,530715
156.66018,-0.66248116,20.505959,0.430127,1589.248463,129038.1
156.63384,-0.71109608,20.174572,0.461371,1364.314202,138411.3
156.65411,-0.70273848,19.217453,0.326416,877.9920834,97924.8
