sdss_name,ra,dec,l,b,M_i,z,fwhm_CIV,fwhm_CIII,fwhm_MGII
132920.28+001619.5,202.3345203,0.272104923,323.2103258,61.64259692,-24.4478283,2.305076361,4269.826892,9365.832703,6955.699143
141707.54+042159.5,214.2814393,4.366532064,348.6232422,59.40835844,-25.71972618,2.225590944,5002.918331,6344.575992,-1
010559.36+020030.4,16.49735951,2.008446485,130.3660129,-60.65309044,-26.29238886,2.806859493,2937.430361,3429.117362,-1
102242.97+063748.4,155.6790679,6.630133625,236.1987492,49.19968982,-25.4641976,3.16685605,5408.664537,3308.516794,-1
101720.35+011529.5,154.334812,1.258210517,241.3612907,44.91993894,-25.54986955,2.29141736,5160.60453,4926.259735,3373.532008
082035.49+172120.2,125.147892,17.35562942,206.4450678,27.27087755,-26.88527011,2.320102215,4967.266912,6509.367532,3163.018556
080515.91+152924.3,121.3162942,15.4901046,206.7771019,23.16043517,-27.36841987,1.313622832,-1,-1,7528.91406
020938.65+032550.9,32.41105694,3.430827143,157.6461345,-54.08432229,-25.96968891,1.025029302,-1,6988.090778,4196.742708
232910.12+001337.9,352.2921754,0.227214523,83.71259686,-56.2475202,-26.62021192,3.398456812,3793.327501,5982.357786,-1
213351.34+064523.0,323.4639361,6.756414817,60.84494208,-31.43731464,-25.54077848,2.447239399,4402.60073,6016.399256,-1
160918.01+163309.1,242.3250735,16.55255421,30.53364381,43.18409876,-24.27851045,2.134810686,3830.22144,4924.294521,4435.950907
163440.26+232624.4,248.6677577,23.44011288,41.83839645,39.81073234,-24.78110385,2.03219533,3859.615274,6107.766449,2553.298739
083634.86+051220.6,129.1452713,5.205737851,220.6082164,25.71385928,-25.2808039,2.130537748,4517.833467,6467.566192,2463.397488
172128.40+323153.0,260.3683634,32.53139136,55.98706347,32.15747911,-25.2177197,2.396958351,2828.679265,3549.62752,-1
095454.39+024710.4,148.7266502,2.786237966,235.1173994,41.31353006,-25.71251332,3.086843252,3344.669896,3604.913267,-1
025208.74+020301.9,43.03641754,2.050536292,172.6481232,-48.81315946,-26.98628449,2.521235466,4887.619053,5429.892831,-1
120556.46+361941.0,181.485276,36.32806194,166.4895269,76.66913468,-24.33347511,2.260915995,3885.281551,6146.340628,-1
150055.70+311251.1,225.232115,31.21419982,48.9962476,61.54158944,-25.62998933,3.349289417,3553.54149,7313.231964,-1
082728.22+481351.8,126.8676001,48.23108322,171.3344455,35.54194217,-25.70932142,2.967806101,-1,-1,-1
001557.08+004822.3,3.987840588,0.806221475,104.5114065,-60.79006325,-26.57452939,2.303738594,4591.589438,6398.744797,3434.46036
095029.41-013651.3,147.6225819,-1.614264169,238.9236278,37.85136949,-25.111778,2.301255941,5017.144085,9002.699069,4448.555378
150032.68+280729.4,225.1362012,28.12485137,42.51732639,61.46974184,-26.0499914,2.255536318,4212.487134,12414.05672,4843.967418
075907.44+280359.1,119.7810348,28.06643809,193.2706688,26.30295018,-26.95224641,2.579164028,3526.320214,2704.513428,-1
075955.46+470759.4,119.981109,47.13318328,172.142591,30.82744753,-27.85754064,2.471505165,6078.543928,7029.744931,-1
022321.91+022143.5,35.84129832,2.362110145,163.4716679,-53.11664933,-24.73811194,0.840092599,-1,-1,-1
152247.90+035155.6,230.6996068,3.865472122,6.874386859,47.05324073,-26.52261018,2.614303112,4990.949604,4314.753822,-1
024447.74-030446.1,41.19893228,-3.079488602,176.2608259,-53.7736415,-28.6344687,2.989764929,7709.672275,7017.955593,-1
074818.79+383013.3,117.0782941,38.50369613,181.3463478,27.06185214,-26.95931196,2.684262276,5066.761637,7787.363033,-1
015132.37+133039.7,27.88490938,13.51103719,144.5481822,-46.8226373,-23.71150368,0.73113507,-1,-1,-1
