ra,dec,longitud,latitud,u,g,r,i
145.6157422,0.81714922,234.94597069,37.63566326,24.604038,21.879419,20.342289,19.878881
145.61583496,0.66709054,235.10222281,37.55087396,22.156334,21.573847,21.01034,20.577026
145.6163998,0.64243946,235.12824977,37.53737881,21.404064,20.902559,19.997744,19.71245
145.61806345,0.65457404,235.11682641,37.54562301,20.719521,19.671343,19.098276,18.716162
145.6165353,0.6551219,235.11516464,37.54467363,22.495771,22.993555,22.005014,21.962009
145.61760519,0.67361359,235.09670516,37.55602656,22.113312,22.510742,21.190756,21.199883
145.61780239,0.75902838,235.00797711,37.60451687,22.383661,22.110197,21.610512,21.69627
145.65026693,0.71593952,235.07600683,37.60690992,24.718992,22.525103,21.207666,21.004301
145.65137283,0.63658396,235.15932774,37.56287672,24.649612,23.472073,21.270254,21.352985
145.65293983,0.65667478,235.13956237,37.57555199,22.04884,21.211599,20.14917,19.836617
145.65246892,0.65481638,235.14115818,37.5741108,27.034935,22.070471,20.863964,20.356022
145.65458084,0.73802465,235.05610238,37.62296439,24.51586,22.151875,21.471634,21.416994
145.65510946,0.70784493,235.08789005,37.60631955,22.131783,22.08461,21.039259,20.323101
145.65498479,0.65519488,235.142563,37.57639844,21.301214,21.722803,20.878086,20.376795
145.65618377,0.65554924,235.14305178,37.57758709,22.559908,22.151541,21.87236,21.161076
145.65638962,0.7457,235.04940351,37.62879795,23.765814,21.884382,20.144503,19.45822
145.65815115,0.82490415,234.96814799,37.67503369,26.714413,22.708803,22.868362,21.216795
145.65887839,0.70690484,235.09156131,37.60889348,25.266998,23.005272,19.729261,18.748913
145.65987175,0.70658269,235.09260648,37.60953022,24.428448,23.909508,22.904022,21.700333
145.65659137,0.7065613,235.09028459,37.60681452,26.10331,23.15624,21.984537,20.802856
145.65790482,0.70746268,235.09028503,37.60840725,23.957218,22.484974,22.091887,22.1063
145.66047357,0.7791083,235.01752807,37.65106238,22.188181,21.419508,20.846371,20.694557
145.66244994,0.71581304,235.08484335,37.61688082,24.402672,21.883488,20.97368,20.067781
145.66279629,0.63226749,235.17198197,37.56984113,23.048861,22.531664,22.738111,22.211876
145.66345019,0.650246,235.15376054,37.58056931,24.741674,22.090986,21.028767,20.479311
145.66368508,0.65237902,235.15171037,37.58197146,21.748566,21.150921,20.576082,20.262896
145.66580889,0.82997228,234.96833173,37.6842148,22.715393,22.418358,21.539156,21.057077
145.66588723,0.74283287,235.05917344,37.63500681,24.357622,22.67218,21.005167,21.017141
145.66682139,0.81226135,234.98751655,37.6750409,23.513842,21.149815,20.317177,20.168299
145.66703706,0.80180301,234.99856961,37.66930732,21.978598,21.184988,20.580132,20.339907
145.66725104,0.65178416,235.15487937,37.58457221,22.498726,22.04513,20.63751,20.490391
145.66739912,0.66308711,235.14323236,37.59109897,24.736637,23.304903,21.512529,21.566269
145.66786437,0.79227644,235.00908773,37.66460334,22.21212,22.243263,21.374512,21.29269
145.66817007,0.8220372,234.9782901,37.68167873,24.665991,21.691442,20.983612,20.594185
145.66929431,0.78794268,235.01462453,37.66333253,22.827112,22.248804,21.668423,21.038774
145.66968475,0.83668316,234.96410179,37.69120433,22.868647,22.09252,21.057716,21.572613
145.67079049,0.79022421,235.01331567,37.66585646,22.677189,21.63554,20.152872,19.576954
145.67150727,0.78961239,235.01446524,37.66610122,24.684084,21.961456,20.504606,20.05884
145.6715717,0.77841842,235.0261736,37.6598247,24.260008,22.067484,21.256384,20.428936
145.67191788,0.77972887,235.02505586,37.66085139,24.626446,22.904152,22.549763,21.440258
145.67803133,0.64799538,235.16652793,37.5913065,20.647354,20.225044,19.820217,19.719172
145.68156319,0.76481056,235.04748698,37.66036597,25.823664,22.022329,21.750669,21.409777
145.68235597,0.78854333,235.02332936,37.67444353,25.512121,22.717371,22.565418,21.454102
145.6838381,0.65885033,235.15939418,37.60224231,22.604576,21.765633,20.364477,19.78157
145.68533396,0.83901162,234.97284842,37.7054301,24.573673,22.474636,20.758766,20.452797
145.68708822,0.83755707,234.97561784,37.70605516,23.169397,22.648996,22.476566,21.679924
145.68870625,0.82963581,234.9850335,37.70291318,22.566721,21.567665,20.38562,19.723923
145.68879971,0.74933285,235.06877928,37.65757387,23.232403,21.179094,20.328505,19.890699
145.69097389,0.67681765,235.1458101,37.61830281,22.263206,23.355494,23.323595,21.585411
145.6914664,0.75940255,235.06019765,37.66547087,23.169682,22.246265,21.121799,21.066046
145.69255969,0.70393888,235.11872523,37.63497353,21.575567,22.582544,24.723801,23.819242
145.69429014,0.72707791,235.0958773,37.64950224,22.913349,22.785711,21.325672,21.128332
145.69835972,0.66714901,235.16115113,37.61890873,26.174065,23.422031,21.764069,20.877043
145.69876684,0.78926426,235.0343048,37.688384,22.169468,22.623945,21.078213,20.866888
145.70043644,0.76879236,235.05682803,37.67817926,23.477345,22.713865,21.044378,20.368753
145.70180408,0.79434235,235.03118298,37.6937612,26.010269,22.914228,21.838238,22.188974
145.55913314,0.83782158,234.88408441,37.60061674,22.781662,21.947323,21.295715,21.017387
145.55910547,0.63633357,235.09369165,37.48670225,25.335131,23.09483,21.490772,21.219736
145.56279837,0.83497646,234.88965964,37.6020366,22.511797,22.577507,20.876986,20.326815
145.5631706,0.75384915,234.97440433,37.55652663,23.907404,22.460537,21.219666,20.903625
