ra,dec,u,g,r,i,z,redshift,velocidad,distancia_arcmin,tipo
195.142558,28.067668,20.635,18.122,16.611,15.611,15.066,,,11.3229,estrella
195.144282,28.043249,16.579,15.565,15.249,15.132,15.104,,,10.8122,estrella
195.147202,28.113403,19.091,16.679,15.656,15.293,15.105,,,13.0146,estrella
195.148217,28.146125,17.458,15.565,14.812,14.43,14.195,0.01822,5466.0,14.3391,galaxia
195.149338,28.242431,14.142,12.822,12.436,12.322,12.306,,,18.8398,estrella
194.570087,27.729674,18.076,16.783,16.158,15.814,15.663,0.06824,20472.0,25.2788,galaxia
194.575873,27.848489,18.68,17.287,16.961,16.804,16.763,0.02528,7584.0,21.5036,galaxia
194.579923,27.762067,18.382,16.792,16.102,15.755,15.542,0.01818,5454.000000000001,23.7327,galaxia
194.582247,27.865339,18.994,17.783,17.332,17.179,17.135,8.0E-5,24.000000000000004,20.8314,estrella
194.583764,27.749551,20.451,17.752,16.389,15.783,15.455,,,23.99,estrella
194.58616,27.877576,19.882,17.765,16.837,16.473,16.254,,,20.4006,estrella
194.591637,27.892283,18.493,17.03,16.262,15.884,15.577,0.02435,7305.0,19.8696,galaxia
194.592827,27.884777,19.393,17.871,17.193,16.868,16.587,0.01454,4362.0,19.9346,galaxia
194.610198,27.859998,16.792,15.471,15.072,14.789,14.719,,,19.5565,estrella
194.620399,27.814803,18.768,17.587,17.033,16.678,16.482,0.08458,25374.0,20.2437,galaxia
194.625004,27.742005,17.881,16.255,15.62,15.389,15.262,,,22.5259,estrella
194.626347,27.752082,18.143,16.839,16.392,16.27,16.244,,,22.0901,estrella
194.627383,27.944111,15.754,14.009,13.339,13.091,12.964,,,17.3898,estrella
194.632083,27.852872,20.289,18.829,17.584,17.062,16.711,0.20952,62856.0,18.6555,galaxia
194.634448,27.790317,18.772,17.73,17.407,17.28,17.254,,,20.3847,estrella
194.635524,27.849727,20.235,18.908,17.735,17.374,16.968,0.15872,47616.0,18.5685,galaxia
194.636434,27.891549,19.53,18.072,17.46,17.233,17.087,,,17.6057,estrella
194.637418,27.871177,20.493,18.095,16.589,15.611,15.077,,,17.9671,estrella
194.640701,27.674647,20.535,18.654,17.619,17.223,17.001,0.18877,56631.0,24.7253,galaxia
194.640713,27.836769,19.484,17.955,17.279,16.939,16.677,0.01503,4509.0,18.6668,galaxia
194.650332,27.872888,19.218,18.075,17.373,17.091,17.089,0.02367,7101.0,17.2928,galaxia
194.653129,27.849482,19.383,17.931,17.153,16.796,16.47,0.02056,6167.999999999999,17.7335,galaxia
194.658997,27.822583,18.929,17.852,17.345,17.148,17.11,0.01799,5397.0,18.241,galaxia
194.660772,27.943263,20.201,18.822,17.659,17.173,16.83,0.1563,46890.0,15.6432,galaxia
194.661587,27.71341,18.432,16.988,16.423,16.221,16.13,,,22.2664,estrella
194.662268,27.953868,18.669,17.19,16.491,16.149,15.951,0.01999,5997.0,15.4853,galaxia
194.669717,27.826917,18.927,17.374,16.63,16.301,16.081,0.02058,6174.0,17.6201,galaxia
194.669748,27.920415,19.408,18.252,17.384,16.988,16.892,0.16729,50187.0,15.436,galaxia
194.674659,27.922174,20.856,18.629,17.526,17.09,16.74,0.15903,47709.0,15.1582,galaxia
194.677455,27.760495,18.486,17.12,16.883,16.755,16.834,1.33926,401777.99999999994,19.6928,galaxia
194.685157,27.820554,15.759,13.971,13.326,14.477,13.034,,,17.1391,estrella
194.689411,27.879958,19.725,18.369,17.625,17.34,17.053,0.02824,8472.0,15.217,galaxia
194.689761,27.753879,18.939,17.826,17.11,16.841,16.73,0.0221,6630.000000000001,19.4887,galaxia
194.691241,27.738462,16.882,15.236,15.718,14.44,14.347,,,20.0915,estrella
194.692141,27.860866,19.281,18.221,17.55,17.2,16.908,0.02927,8781.0,15.5791,galaxia
194.693614,27.901795,19.447,17.371,16.309,15.842,15.523,0.15792,47376.0,14.5342,galaxia
194.697503,27.674716,16.434,14.579,13.775,13.365,13.153,0.02796,8388.0,22.8125,galaxia
194.703028,27.810435,16.709,14.889,14.084,13.681,13.39,0.01974,5922.0,16.7266,galaxia
194.705761,27.910765,19.723,18.46,17.409,16.958,16.613,0.15746,47238.0,13.7531,galaxia
194.712097,27.777237,17.479,15.973,15.403,15.208,15.128,,,17.662,estrella
194.717063,27.785051,17.198,15.428,14.655,14.261,13.999,0.01886,5657.999999999999,17.1481,galaxia
194.721057,27.813426,18.345,16.596,15.789,15.433,15.099,0.01842,5526.0,15.8657,galaxia
194.727648,27.795617,18.545,17.095,16.322,15.94,15.733,0.02158,6474.0,16.3047,galaxia
194.729484,27.797335,17.316,16.436,16.159,16.066,16.068,,,16.1632,estrella
194.730217,27.964702,17.824,16.16,15.373,14.989,14.723,0.01889,5667.0,11.8392,galaxia
194.730431,27.791087,16.877,17.678,17.019,32.05,30.072,,,16.3845,galaxia
194.732631,27.876834,20.009,18.307,17.588,17.332,17.229,,,13.2325,estrella
194.733085,27.833372,16.033,14.687,14.019,13.654,13.387,0.0251,7530.0,14.6236,galaxia
